,sync_bit,preamble,ert_id_ms_bits,reserved,physical_tamper,ert_type,encoder_tamper,consumption_data,ert_id_ls_bits,checksum
0,1,0xF2A60,47,,,electric,,378,023948576274839201938475,47498238489494848
1,1,0xF2A60,31,,,electric,,3656,100000000000000000000073,47498238489494848
2,1,0xF2A60,80,,,electric,,1465,100000000000000000000049,47498238489494848
3,1,0xF2A60,17,,,electric,,3124,100000000000000000000019,47498238489494848
4,1,0xF2A60,52,,,electric,,603,100000000000000000000074,47498238489494848
5,1,0xF2A60,10,,,electric,,3606,100000000000000000000075,47498238489494848
6,1,0xF2A60,59,,,electric,,605,100000000000000000000018,47498238489494848
7,1,0xF2A60,61,,,electric,,3850,100000000000000000000051,47498238489494848
8,1,0xF2A60,52,,,electric,,3620,100000000000000000000037,47498238489494848
9,1,0xF2A60,73,,,electric,,775,100000000000000000000065,47498238489494848
10,1,0xF2A60,40,,,electric,,1063,100000000000000000000008,47498238489494848
11,1,0xF2A60,92,,,electric,,1518,100000000000000000000039,47498238489494848
12,1,0xF2A60,56,,,electric,,1674,100000000000000000000011,47498238489494848
13,1,0xF2A60,46,,,electric,,3326,100000000000000000000065,47498238489494848
14,1,0xF2A60,57,,,electric,,2347,100000000000000000000024,47498238489494848
15,1,0xF2A60,93,,,electric,,202,100000000000000000000073,47498238489494848
16,1,0xF2A60,71,,,electric,,2386,100000000000000000000090,47498238489494848
17,1,0xF2A60,66,,,electric,,1629,100000000000000000000014,47498238489494848
18,1,0xF2A60,62,,,electric,,441,100000000000000000000030,47498238489494848
19,1,0xF2A60,78,,,electric,,764,100000000000000000000083,47498238489494848
20,1,0xF2A60,17,,,electric,,538,100000000000000000000003,47498238489494848
21,1,0xF2A60,61,,,electric,,197,100000000000000000000057,47498238489494848
22,1,0xF2A60,67,,,electric,,3635,100000000000000000000095,47498238489494848
23,1,0xF2A60,91,,,electric,,894,100000000000000000000020,47498238489494848
24,1,0xF2A60,59,,,electric,,3256,100000000000000000000043,47498238489494848
25,1,0xF2A60,57,,,electric,,592,100000000000000000000025,47498238489494848
26,1,0xF2A60,32,,,electric,,1348,100000000000000000000090,47498238489494848
27,1,0xF2A60,88,,,electric,,3003,100000000000000000000098,47498238489494848
28,1,0xF2A60,58,,,electric,,1765,100000000000000000000024,47498238489494848
29,1,0xF2A60,93,,,electric,,1181,100000000000000000000058,47498238489494848
30,1,0xF2A60,46,,,electric,,3599,100000000000000000000008,47498238489494848
31,1,0xF2A60,60,,,electric,,3075,100000000000000000000018,47498238489494848
32,1,0xF2A60,23,,,electric,,673,100000000000000000000075,47498238489494848
33,1,0xF2A60,89,,,electric,,1211,100000000000000000000070,47498238489494848
34,1,0xF2A60,88,,,electric,,901,100000000000000000000045,47498238489494848
35,1,0xF2A60,21,,,electric,,2257,100000000000000000000079,47498238489494848
36,1,0xF2A60,54,,,electric,,332,100000000000000000000075,47498238489494848
37,1,0xF2A60,91,,,electric,,205,100000000000000000000091,47498238489494848
38,1,0xF2A60,62,,,electric,,661,100000000000000000000067,47498238489494848
39,1,0xF2A60,64,,,electric,,1426,100000000000000000000005,47498238489494848
40,1,0xF2A60,51,,,electric,,3686,100000000000000000000078,47498238489494848
41,1,0xF2A60,44,,,electric,,3394,100000000000000000000097,47498238489494848
42,1,0xF2A60,29,,,electric,,3256,100000000000000000000089,47498238489494848
43,1,0xF2A60,31,,,electric,,1857,100000000000000000000010,47498238489494848
44,1,0xF2A60,55,,,electric,,3744,100000000000000000000071,47498238489494848
45,1,0xF2A60,65,,,electric,,978,100000000000000000000085,47498238489494848
46,1,0xF2A60,85,,,electric,,486,100000000000000000000066,47498238489494848
47,1,0xF2A60,29,,,electric,,3292,100000000000000000000062,47498238489494848
48,1,0xF2A60,49,,,electric,,2190,100000000000000000000081,47498238489494848
49,1,0xF2A60,11,,,electric,,1329,100000000000000000000013,47498238489494848
50,1,0xF2A60,95,,,electric,,631,100000000000000000000036,47498238489494848
51,1,0xF2A60,54,,,electric,,3255,100000000000000000000080,47498238489494848
52,1,0xF2A60,71,,,electric,,750,100000000000000000000032,47498238489494848
53,1,0xF2A60,60,,,electric,,1223,100000000000000000000073,47498238489494848
54,1,0xF2A60,72,,,electric,,3233,100000000000000000000053,47498238489494848
55,1,0xF2A60,81,,,electric,,2350,100000000000000000000077,47498238489494848
56,1,0xF2A60,16,,,electric,,3785,100000000000000000000085,47498238489494848
57,1,0xF2A60,54,,,electric,,1513,100000000000000000000098,47498238489494848
58,1,0xF2A60,22,,,electric,,2682,100000000000000000000089,47498238489494848
59,1,0xF2A60,30,,,electric,,457,100000000000000000000080,47498238489494848
60,1,0xF2A60,61,,,electric,,3819,100000000000000000000038,47498238489494848
61,1,0xF2A60,33,,,electric,,271,100000000000000000000086,47498238489494848
62,1,0xF2A60,28,,,electric,,3144,100000000000000000000090,47498238489494848
63,1,0xF2A60,57,,,electric,,820,100000000000000000000100,47498238489494848
64,1,0xF2A60,61,,,electric,,1154,100000000000000000000015,47498238489494848
65,1,0xF2A60,56,,,electric,,3689,100000000000000000000059,47498238489494848
