,sync_bit,preamble,ert_id_ms_bits,reserved,physical_tamper,ert_type,encoder_tamper,consumption_data,ert_id_ls_bits,checksum
0,1,0xF2A60,47,,,electric,,2087,023948576274839201938475,47498238489494848
1,1,0xF2A60,81,,,electric,,2858,100000000000000000000055,47498238489494848
2,1,0xF2A60,72,,,electric,,1469,100000000000000000000036,47498238489494848
3,1,0xF2A60,18,,,electric,,3945,100000000000000000000000,47498238489494848
4,1,0xF2A60,69,,,electric,,3740,100000000000000000000088,47498238489494848
5,1,0xF2A60,54,,,electric,,1973,100000000000000000000035,47498238489494848
6,1,0xF2A60,55,,,electric,,2106,100000000000000000000031,47498238489494848
7,1,0xF2A60,17,,,electric,,3766,100000000000000000000060,47498238489494848
8,1,0xF2A60,17,,,electric,,886,100000000000000000000021,47498238489494848
9,1,0xF2A60,66,,,electric,,2732,100000000000000000000035,47498238489494848
10,1,0xF2A60,62,,,electric,,3711,100000000000000000000033,47498238489494848
11,1,0xF2A60,43,,,electric,,2476,100000000000000000000012,47498238489494848
12,1,0xF2A60,31,,,electric,,130,100000000000000000000009,47498238489494848
13,1,0xF2A60,37,,,electric,,3275,100000000000000000000053,47498238489494848
14,1,0xF2A60,77,,,electric,,558,100000000000000000000023,47498238489494848
15,1,0xF2A60,40,,,electric,,577,100000000000000000000050,47498238489494848
16,1,0xF2A60,16,,,electric,,3889,100000000000000000000055,47498238489494848
17,1,0xF2A60,32,,,electric,,1758,100000000000000000000046,47498238489494848
18,1,0xF2A60,91,,,electric,,3989,100000000000000000000003,47498238489494848
19,1,0xF2A60,12,,,electric,,927,100000000000000000000051,47498238489494848
20,1,0xF2A60,97,,,electric,,3660,100000000000000000000019,47498238489494848
21,1,0xF2A60,22,,,electric,,703,100000000000000000000023,47498238489494848
22,1,0xF2A60,30,,,electric,,1830,100000000000000000000062,47498238489494848
23,1,0xF2A60,54,,,electric,,3435,100000000000000000000010,47498238489494848
24,1,0xF2A60,61,,,electric,,990,100000000000000000000081,47498238489494848
25,1,0xF2A60,83,,,electric,,3266,100000000000000000000071,47498238489494848
26,1,0xF2A60,14,,,electric,,3203,100000000000000000000067,47498238489494848
27,1,0xF2A60,22,,,electric,,3709,100000000000000000000005,47498238489494848
28,1,0xF2A60,18,,,electric,,3720,100000000000000000000018,47498238489494848
29,1,0xF2A60,23,,,electric,,2295,100000000000000000000037,47498238489494848
30,1,0xF2A60,14,,,electric,,2835,100000000000000000000053,47498238489494848
31,1,0xF2A60,96,,,electric,,2648,100000000000000000000099,47498238489494848
32,1,0xF2A60,45,,,electric,,1237,100000000000000000000077,47498238489494848
33,1,0xF2A60,72,,,electric,,1440,100000000000000000000080,47498238489494848
34,1,0xF2A60,24,,,electric,,2365,100000000000000000000100,47498238489494848
35,1,0xF2A60,22,,,electric,,3608,100000000000000000000006,47498238489494848
36,1,0xF2A60,77,,,electric,,2459,100000000000000000000047,47498238489494848
37,1,0xF2A60,58,,,electric,,1435,100000000000000000000023,47498238489494848
38,1,0xF2A60,59,,,electric,,3234,100000000000000000000015,47498238489494848
39,1,0xF2A60,97,,,electric,,1792,100000000000000000000023,47498238489494848
40,1,0xF2A60,90,,,electric,,1371,100000000000000000000096,47498238489494848
41,1,0xF2A60,12,,,electric,,2369,100000000000000000000081,47498238489494848
42,1,0xF2A60,41,,,electric,,3175,100000000000000000000005,47498238489494848
43,1,0xF2A60,23,,,electric,,1801,100000000000000000000055,47498238489494848
44,1,0xF2A60,53,,,electric,,1280,100000000000000000000043,47498238489494848
45,1,0xF2A60,95,,,electric,,2281,100000000000000000000072,47498238489494848
46,1,0xF2A60,48,,,electric,,183,100000000000000000000034,47498238489494848
47,1,0xF2A60,13,,,electric,,149,100000000000000000000042,47498238489494848
48,1,0xF2A60,47,,,electric,,1710,100000000000000000000025,47498238489494848
49,1,0xF2A60,40,,,electric,,2794,100000000000000000000066,47498238489494848
50,1,0xF2A60,86,,,electric,,808,100000000000000000000073,47498238489494848
51,1,0xF2A60,19,,,electric,,919,100000000000000000000002,47498238489494848
52,1,0xF2A60,31,,,electric,,67,100000000000000000000039,47498238489494848
53,1,0xF2A60,82,,,electric,,2460,100000000000000000000060,47498238489494848
